timestamp,open,high,low,close,volume
2024-04-09,484.5,485.3,475.35,475.8,995998
2024-04-08,490.0,491.0,478.4,479.9,1344444
2024-04-05,487.55,487.55,482.4,485.2,559596
2024-04-04,486.45,491.5,479.7,487.5,1021220
2024-04-03,480.0,487.85,476.25,483.35,670494
2024-04-02,482.1,482.7,479.75,481.2,450180
2024-04-01,482.9,486.45,481.6,485.0,212412
2024-03-28,476.95,483.05,475.4,480.05,469218
2024-03-27,481.95,481.95,471.4,472.2,520008
2024-03-26,487.05,490.75,479.05,479.75,388254
2024-03-22,488.05,490.45,479.45,487.05,1684116
2024-03-21,500.0,505.25,498.45,500.7,722268
2024-03-20,495.25,501.4,489.4,493.6,250386
2024-03-19,509.9,509.9,493.0,494.8,652466
2024-03-18,517.45,517.6,509.0,510.35,149236
2024-03-15,515.9,518.0,506.3,516.8,553048
2024-03-14,502.45,518.85,495.05,517.6,304412
2024-03-13,513.5,518.5,497.0,504.35,464724
2024-03-12,513.0,522.45,508.0,510.65,338522
2024-03-11,516.25,518.75,512.3,514.4,711470
2024-03-07,514.95,520.2,510.3,515.85,422378
2024-03-06,513.05,515.0,500.0,513.05,982108
2024-03-05,517.15,520.5,510.6,513.3,292188
2024-03-04,522.3,526.25,519.0,520.25,216154
2024-03-01,523.95,525.0,517.35,519.15,1363942
2024-02-29,516.05,523.95,513.3,519.15,566052
2024-02-28,531.4,531.4,515.05,517.1,342162
2024-02-27,534.8,537.4,527.7,531.35,343172
2024-02-26,536.0,536.05,526.2,532.2,212100
2024-02-23,535.5,541.0,533.3,536.05,1303444
2024-02-22,523.65,533.0,521.7,531.25,318292
2024-02-21,536.0,536.0,519.5,521.15,442428
2024-02-20,535.3,538.2,526.2,531.8,336402
2024-02-19,546.1,546.1,531.25,535.25,2092580
2024-02-16,521.2,545.0,521.05,543.1,1538894
2024-02-15,516.15,523.0,513.15,518.25,425674
2024-02-14,504.05,516.5,497.2,514.05,3611934
2024-02-13,502.05,513.15,491.65,512.15,907082
2024-02-12,490.7,510.65,490.7,501.4,1631796
2024-02-09,489.35,494.55,482.5,490.3,1004844
2024-02-08,496.95,500.0,485.25,488.9,331646
2024-02-07,501.6,501.6,492.85,495.1,273974
2024-02-06,484.05,501.6,484.05,499.6,856184
2024-02-05,483.0,489.2,479.3,482.3,387038
2024-02-02,475.0,486.35,474.5,483.0,711468
2024-02-01,477.65,477.65,470.55,471.15,227138
2024-01-31,472.4,479.7,469.0,477.8,270234
2024-01-30,474.65,482.5,471.6,472.4,440594
2024-01-29,469.95,476.95,469.95,472.95,297118
2024-01-25,478.75,479.35,468.75,469.95,559946
2024-01-24,470.3,478.85,468.0,478.0,1069612
2024-01-23,478.7,486.0,466.85,469.9,1591844
2024-01-22,999999.9999,999999.9999,999999.9999,999999.9999,0
2024-01-20,999999.9999,999999.9999,999999.9999,999999.9999,215288
2024-01-19,488.0,493.2,483.6,485.0,916900
2024-01-18,480.6,488.65,468.5,482.25,939696
2024-01-17,475.65,491.25,472.0,482.3,2767924
2024-01-16,495.85,495.85,480.6,485.0,1451896
2024-01-15,511.95,526.45,488.95,494.55,10096610
2024-01-12,454.55,469.0,454.55,465.45,1863968
2024-01-11,454.45,456.9,446.5,448.05,863906
2024-01-10,451.0,455.9,449.0,453.85,808164
